	time	heart	temp	temp1	temenv	Red_AC	IR_AC	body	step	bodymove	breathe	movetypr	movepower	Red_DC	IR_DC	sig	overall	energy	test1	test2	test3	test4	if_body_abnormal
117	2020/10/11 9:25:44	86	36.27	36.36	85	91	43	1	0	1	23	1	1	60	65	1	100	0.02	94	36.88	25.05	1	0
118	2020/10/11 9:25:47	86	36.26	36.36	85	74	38	1	0	1	24	1	1	60	65	1	100	0.02	94	36.88	25.04	1	0
119	2020-10-11 09:25:50	0																					1
120	2020/10/11 9:25:50	85	36.26	36.35	85	65	35	1	0	1	24	1	1	60	65	1	100	0.02	94	36.88	25.03	1	0
121	2020/10/11 9:25:56	81	36.26	36.35	85	47	33	1	0	1	24	1	1	59	65	4	100	0.02	94	36.88	25.03	1	0
122	2020/10/11 9:25:59	79	36.25	36.35	85	43	33	1	0	1	23	1	1	59	65	4	100	0.02	93	36.88	25.02	1	0
123	2020/10/11 9:26:02	76	36.25	36.35	85	43	34	1	0	1	23	1	1	59	65	4	100	0.02	93	36.88	25.02	1	0
124	2020/10/11 9:26:05	75	36.24	36.35	85	45	38	1	0	255	23	1	4	61	66	4	100	0.02	92	36.81	25.02	1	0
125	2020/10/11 9:26:08	75	36.24	36.35	85	46	45	1	0	138	23	1	4	60	65	4	100	0.02	92	36.81	25.02	1	0
126	2020/10/11 9:26:11	77	36.24	36.35	85	71	53	1	0	1	24	1	3	60	65	4	100	0.02	92	36.81	25.02	1	0
127	2020/10/11 9:26:14	78	36.23	36.34	85	79	47	1	0	121	24	1	4	59	64	4	100	0.02	91	36.81	25.02	1	0
128	2020/10/11 9:26:17	79	36.23	36.34	85	74	46	1	0	255	24	1	7	59	66	4	100	0.02	91	36.81	25.02	1	0
129	2020/10/11 9:26:20	81	36.23	36.34	86	71	47	1	0	180	25	1	5	59	66	4	100	0.02	91	36.75	24.04	1	0
130	2020/10/11 9:26:23	85	36.22	36.34	86	71	48	1	0	255	26	2	12	55	63	4	100	0.05	90	36.75	23.55	1	0
131	2020/10/11 9:26:26	87	36.22	36.34	86	73	58	1	0	1	26	1	8	55	63	4	100	0.02	90	36.75	23.3	1	0
132	2020/10/11 9:26:29	89	36.22	36.34	86	74	63	1	0	1	27	1	5	54	63	4	100	0.02	90	36.75	23.18	1	0
133	2020/10/11 9:26:32	91	36.22	36.34	86	66	53	1	0	1	28	1	3	53	62	4	100	0.02	89	36.75	23.12	1	0
134	2020/10/11 9:26:35	90	36.21	36.34	86	58	47	1	0	1	28	1	2	53	62	4	100	0.02	89	36.69	23.09	1	0
135	2020/10/11 9:26:38	91	36.21	36.34	86	53	44	1	0	1	29	1	2	53	62	4	100	0.02	88	36.69	23.07	1	0
136	2020/10/11 9:26:41	89	36.21	36.34	86	43	38	1	0	1	28	1	1	53	62	4	92	0.02	87	36.69	23.06	1	0
137	2020/10/11 9:26:44	86	36.21	36.34	86	38	32	1	0	1	28	1	1	52	61	4	84	0.02	87	36.69	23.06	1	0
138	2020-10-11 09:26:47	5	83	86	1	0	86	1	211	104	1	1	1	62	4	80]}							1
139	2020/10/11 9:26:50	80	36.21	36.34	86	29	23	1	0	1	28	1	1	52	62	4	72	0.02	85	36.69	23.06	1	0
140	2020-10-11 09:26:53	6	76	84	1	0	86	184	211	104	1	4	1	62	4	68]}							1
141	2020/10/11 9:26:56	74	36.21	36.34	86	24	20	1	0	1	27	1	3	52	62	4	60	0.02	84	36.69	23.06	1	0
